	joint1		joint2		joint3		joint4		joint5		joint6		 if out of range
1	26.565100	72.647600	-58.992900	-13.654600	-153.434900	90.000000	
2	26.311360	72.460208	-59.073835	-13.386273	-153.328640	90.360000	
3	26.057620	72.272816	-59.154770	-13.117946	-153.222380	90.720000	
4	25.803880	72.085424	-59.235706	-12.849618	-153.116120	91.080000	
5	25.550140	71.898032	-59.316641	-12.581291	-153.009860	91.440000	
6	25.296400	71.710640	-59.397576	-12.312964	-152.903600	91.800000	
7	25.042660	71.523248	-59.478511	-12.044637	-152.797340	92.160000	
8	24.788920	71.335856	-59.559446	-11.776310	-152.691080	92.520000	
9	24.535180	71.148464	-59.640382	-11.507982	-152.584820	92.880000	
10	24.281440	70.961072	-59.721317	-11.239655	-152.478560	93.240000	
11	24.027700	70.773680	-59.802252	-10.971328	-152.372300	93.600000	
12	23.773960	70.586288	-59.883187	-10.703001	-152.266040	93.960000	
13	23.520220	70.398896	-59.964122	-10.434674	-152.159780	94.320000	
14	23.266480	70.211504	-60.045058	-10.166346	-152.053520	94.680000	
15	23.012740	70.024112	-60.125993	-9.898019	-151.947260	95.040000	
16	22.759000	69.836720	-60.206928	-9.629692	-151.841000	95.400000	
17	22.505260	69.649328	-60.287863	-9.361365	-151.734740	95.760000	
18	22.251520	69.461936	-60.368798	-9.093038	-151.628480	96.120000	
19	21.997780	69.274544	-60.449734	-8.824710	-151.522220	96.480000	
20	21.744040	69.087152	-60.530669	-8.556383	-151.415960	96.840000	
21	21.490300	68.899760	-60.611604	-8.288056	-151.309700	97.200000	
22	21.236560	68.712368	-60.692539	-8.019729	-151.203440	97.560000	
23	20.982820	68.524976	-60.773474	-7.751402	-151.097180	97.920000	
24	20.729080	68.337584	-60.854410	-7.483074	-150.990920	98.280000	
25	20.475340	68.150192	-60.935345	-7.214747	-150.884660	98.640000	
26	20.221600	67.962800	-61.016280	-6.946420	-150.778400	99.000000	
27	19.967860	67.775408	-61.097215	-6.678093	-150.672140	99.360000	
28	19.714120	67.588016	-61.178150	-6.409766	-150.565880	99.720000	
29	19.460380	67.400624	-61.259086	-6.141438	-150.459620	100.080000	
30	19.206640	67.213232	-61.340021	-5.873111	-150.353360	100.440000	
31	18.952900	67.025840	-61.420956	-5.604784	-150.247100	100.800000	
32	18.699160	66.838448	-61.501891	-5.336457	-150.140840	101.160000	
33	18.445420	66.651056	-61.582826	-5.068130	-150.034580	101.520000	
34	18.191680	66.463664	-61.663762	-4.799802	-149.928320	101.880000	
35	17.937940	66.276272	-61.744697	-4.531475	-149.822060	102.240000	
36	17.684200	66.088880	-61.825632	-4.263148	-149.715800	102.600000	
37	17.430460	65.901488	-61.906567	-3.994821	-149.609540	102.960000	
38	17.176720	65.714096	-61.987502	-3.726494	-149.503280	103.320000	
39	16.922980	65.526704	-62.068438	-3.458166	-149.397020	103.680000	
40	16.669240	65.339312	-62.149373	-3.189839	-149.290760	104.040000	
41	16.415500	65.151920	-62.230308	-2.921512	-149.184500	104.400000	
42	16.161760	64.964528	-62.311243	-2.653185	-149.078240	104.760000	
43	15.908020	64.777136	-62.392178	-2.384858	-148.971980	105.120000	
44	15.654280	64.589744	-62.473114	-2.116530	-148.865720	105.480000	
45	15.400540	64.402352	-62.554049	-1.848203	-148.759460	105.840000	
46	15.146800	64.214960	-62.634984	-1.579876	-148.653200	106.200000	
47	14.893060	64.027568	-62.715919	-1.311549	-148.546940	106.560000	
48	14.639320	63.840176	-62.796854	-1.043222	-148.440680	106.920000	
49	14.385580	63.652784	-62.877790	-0.774894	-148.334420	107.280000	
50	14.131840	63.465392	-62.958725	-0.506567	-148.228160	107.640000	
51	13.878100	63.278000	-63.039660	-0.238240	-148.121900	108.000000	
52	13.624360	63.090608	-63.120595	0.030087	-148.015640	108.360000	
53	13.370620	62.903216	-63.201530	0.298414	-147.909380	108.720000	
54	13.116880	62.715824	-63.282466	0.566742	-147.803120	109.080000	
55	12.863140	62.528432	-63.363401	0.835069	-147.696860	109.440000	
56	12.609400	62.341040	-63.444336	1.103396	-147.590600	109.800000	
57	12.355660	62.153648	-63.525271	1.371723	-147.484340	110.160000	
58	12.101920	61.966256	-63.606206	1.640050	-147.378080	110.520000	
59	11.848180	61.778864	-63.687142	1.908378	-147.271820	110.880000	
60	11.594440	61.591472	-63.768077	2.176705	-147.165560	111.240000	
61	11.340700	61.404080	-63.849012	2.445032	-147.059300	111.600000	
62	11.086960	61.216688	-63.929947	2.713359	-146.953040	111.960000	
63	10.833220	61.029296	-64.010882	2.981686	-146.846780	112.320000	
64	10.579480	60.841904	-64.091818	3.250014	-146.740520	112.680000	
65	10.325740	60.654512	-64.172753	3.518341	-146.634260	113.040000	
66	10.072000	60.467120	-64.253688	3.786668	-146.528000	113.400000	
67	9.818260	60.279728	-64.334623	4.054995	-146.421740	113.760000	
68	9.564520	60.092336	-64.415558	4.323322	-146.315480	114.120000	
69	9.310780	59.904944	-64.496494	4.591650	-146.209220	114.480000	
70	9.057040	59.717552	-64.577429	4.859977	-146.102960	114.840000	
71	8.803300	59.530160	-64.658364	5.128304	-145.996700	115.200000	
72	8.549560	59.342768	-64.739299	5.396631	-145.890440	115.560000	
73	8.295820	59.155376	-64.820234	5.664958	-145.784180	115.920000	
74	8.042080	58.967984	-64.901170	5.933286	-145.677920	116.280000	
75	7.788340	58.780592	-64.982105	6.201613	-145.571660	116.640000	
76	7.534600	58.593200	-65.063040	6.469940	-145.465400	117.000000	
77	7.280860	58.405808	-65.143975	6.738267	-145.359140	117.360000	
